"county_fips","pop_hs_less","pop_hs","pop_college","pop_bs_more","pct_pop_hs_less","pct_pop_hs","pct_pop_college","pct_pop_bs_more","pop_poverty","pct_pop_poverty","med_house_inc","unemploy_rate","pop_labor_force","pop_employed","pop_unemployed"
47125,9090,35180,43848,32983,7.5,29.1,36.2,27.2,24251,12,56102,3.8,83866,80679,3187
47127,655,1912,1044,942,14.4,42,22.9,20.7,575,9.1,58234,3,3536,3429,107
47129,2930,7878,3698,1145,18.7,50.3,23.6,7.3,3919,20.4,40397,4.5,7860,7509,351
47131,3541,9580,5057,3194,16.6,44.8,23.7,14.9,5267,17.7,42532,4.9,12291,11683,608
47133,3146,6963,3268,2019,20.4,45.2,21.2,13.1,3251,15,42149,3.8,9818,9449,369
47135,1439,1976,1514,642,25.8,35.5,27.2,11.5,1390,17.6,41960,4.3,3233,3094,139
47137,906,1563,1021,332,23.7,40.9,26.7,8.7,797,16,40182,3.8,2446,2353,93
47139,2402,4772,3680,1344,19.7,39.1,30.2,11,2623,15.8,41968,4.2,7281,6976,305
47141,6860,18133,11564,12473,14,37,23.6,25.4,10996,14.5,45512,3.6,34330,33111,1219
47143,4785,8192,5728,3349,21.7,37.1,26,15.2,5886,18.4,44132,5.6,13026,12295,731
47145,4608,14447,12303,7579,11.8,37.1,31.6,19.5,7779,14.8,54440,4.1,23153,22201,952
47147,5856,18263,14066,8712,12.5,38.9,30,18.6,7414,10.6,66006,3.1,36975,35815,1160
47149,16820,54236,59409,61339,8.8,28.3,31,32,33172,10.4,64170,2.7,176691,171941,4750
47151,3160,6699,3632,1392,21.2,45,24.4,9.4,4591,21.2,35685,4.3,8481,8116,365
47153,1839,4114,3023,1531,17.5,39.2,28.8,14.6,2339,16,49707,4.3,6041,5779,262
47155,11002,24905,20759,11714,16.1,36.4,30.4,17.1,13466,13.9,47202,3.5,53097,51242,1855
47157,72057,167979,180080,189720,11.8,27.5,29.5,31.1,198554,21.7,47924,4.2,442379,424005,18374
47159,1997,6304,3481,1663,14.9,46.9,25.9,12.4,2739,13.9,50704,3.1,9145,8866,279
